text,label
rashes skin itch touch dont feel good joints pain whole day night mild fever get chills cant sleep,6
im problems breathing high fever im perspiring lot experiencing extreme fatigue chilly heart racing im coughing brownish mucus,14
hair loss significant change texture hair dry itchy sclap increased dandruff skin also getting dry,20
back pain dry cough stiffness arms legs bothering ive problems staying balanced experience dizziness neck hurts,3
frequently exhaustion terrible taste mouth throat itchiness muscles also burning uncomfortable sometimes cramps throughout body,18
ive experiencing severe itching chills vomiting high fever im also sweating lot headache feel nauseous muscles really sore,12
get sour taste mouth time even nothing acidic stomach often get hiccups lump throat,21
along excessive appetite stiff neck depression impatience visual disturbance ive also indigestion headaches blurred vision acid reflux,13
ive feeling really weak muscles neck really stiff joints swelling hard move around without feeling stiff walking really painful,1
ive recently dealing itching rash skin covered pusfilled pimples blackheads skin also quite sensitive,0
experiencing intense itching vomiting fatigue also lost weight high fever skin turned yellow urine dark abdominal pain well,11
recently ive experiencing lot acne breakouts pimples contain pus ive also struggling blackheads,0
throat often feels like burning especially eating bitter sour aftertaste occasionally experience also makes feel unwell,21
ive suffering significant joint pain makes difficult walk carry everyday tasks ive also lost appetite makes feel weak feel like vomitting,6
ive experiencing balance issues chest pain headaches pains ive trouble focusing well,9
days ago experienced tiny rash around nose rash accompanied burning feeling skin redness discharge fluid believe sort infection,10
ive experiencing chills feeling worn cant seem get rid cough cough chest aches heart feels like beating million miles per hour im coughing nasty rustcolored phlegm,14
experiencing joint pain fingers wrists knees pain often achy throbbing gets worse move joints,15
skin around mouth nose eyes red inflamed often itchy uncomfortable noticeable inflammation nails,15
doctor really itchy rash skin weird spots different color also bumps skin look like little knots,8
muscles quite weak ive coughing phlegm along significant back discomfort addition feeling weak disoriented neck hurting,3
lately ive experiencing constipation pain bowel movements pain anus stool also really bloody anus really irritated,7
heartburn indigestion regularly vomit everything eat food gets stuck throat making difficult swallow pain upper abdomen,21
initially rashes face near nose rash spreading arms legs,10
ive terrible back pain persistent cough weakness arms legs issues dizziness balance loss neck hurts,3
ive seen sudden peeling skin various regions body mostly arms legs back addition significant joint pain skin rashes rash spreading different parts body,15
ive experiencing severe body itchiness chills vomiting really high fever ive perspiring lot also feel queasy headache muscles excruciating discomfort,12
cant stop sneezing im exhausted sick throat really uncomfortable lot junk nose throat neck also swollen puffy,5
often feel like food getting caught throat problems swallowing feel bloated frequently belch constantly bitter aftertaste,22
ive noticed difference monthly cycle unexpected vaginal discharge become irritable every moods swing lot,20
use restroom frequently yet drops pee usually produced stomach aches lot cant seem control desire urinate,23
ive lot trouble going bathroom lately really painful theres blood stool ive also pain irritation around anus,7
feels like food acid backing throat chest discomfort becomes worse im lying eating frequently heartburn indigestion throw,21
muscles feeling feeble recently neck rock solid joints become swollen making difficult move walking quite uncomfortable well,1
struggling acid reflux indigestion headaches well blurred distorted vision excessive hunger sore neck depression irritability visual disturbance symptoms causing lot problems making difficult concentrate function normally,13
red watery eyes time sinuses also bothered constant tightness breathing quite tough ive feeling worn time lymph nodes irritated also lot throat mucous,5
experiencing severe headache accompanied pain behind eyes lost apetite experience chills every night,6
experiencing high fever chills every night really concerning moreover dont feel like eating anything back arms legs pain lot strange pain behing eyes cant physical activities,6
red inflammatory skin around mouth nose eyes frequently irritating unpleasant recently got painful,15
rashy areas skin really irritating additionally bumps fairly firm patches different colour rest skin,8
awoke morning see horrible rash skin several blackheads pimples loaded pus skin also scurrying,0
joints experiencing unusual discomfort additionally ive experienced weird skin peeling various places body im concerned something wrong body,15
ive experiencing lot itching accompanied rash appears growing worse time also certain areas skin different colours rest ive spotted several lumps resemble little nodes,8
ive persistent headache past week getting worse accompanied belly aches constipation diarrhea,16
chest pain severe nausea present recently chest hurting tremble lot quite anxious,20
skin around veins legs red inflamed believe see swollen blood vessels really worried,17
neck extremely tight muscles feeling extremely weak difficult move around without becoming stiff due swollen joints walking also extremely uncomfortable,1
noticed skin rash face made blistering sore today observed yellow colored fluid coming sores sure,10
abdominal pain frequent really painful constipation vomiting also occurred im quite worried health,16
ive breathing issues persistent cough exhaustion ive coughing lot thick mucoid sputum high fever im feeling drained tired deal,2
back pain lingering cough muscle weakness bothering issues dizziness losing equilibrium neck hurts,3
itch nausea weariness bothering addition developed fever lost weight pee black ive developed yellow rash additionally ive stomach ache,11
noticed bruises legs explain painful concerning,17
ive struggling fatigue constant cough thats making difficult breathe fever high ive coughing lot thick mucoid sputum,2
regularly feel sick eating puke entire meal constantly get horrible acid reflux agony stomach discomfort,21
frequently heartburn indigestion particularly consuming spicy fatty foods lie stoop chest discomfort worsens chest hurts quite bit,21
recently experienced severe skin rash blackheads pimples filled pus clogging additionally skin quite irritated,0
muscles lack strength experiencing back pain dry cough ive experiencing neck pain feeling lightheaded unstable feet,3
suffering acid reflux indigestion regular headaches well impaired vision excessive hunger sore neck depression irritability visual disturbance symptoms causing lot distress making difficult go daily activities,13
skin breaking terrible rash lately blackheads pusfilled pimples abound additionally skin scurring lot,0
skin developed revolting rash pusfilled pimples blackheads everywhere skin also really sensitive,0
im hard time breathing feel really uncomfortable im sweating lot theres lot phlegm throat chest hurts heart beating fast mucus im coughing brownish,14
addition stiff neck eye issues always hungry,13
lot itching skin sometimes gets really red bumpy also patches different colors rest skin sometimes get little bumps look like little balls really annoying itchy,8
recently ive feeling terrible fever roof ive persistent cough breathing problems ive coughing lot phlegm also feeling quite weary dealing symptoms quite difficult,2
experiencing really intense itching body along redness bumps skin also weird patches different colors rest skin sometimes get nodules look like small bumps,8
bloody stools resulted bloos loss loss iron thiis caused anemia feel weak general,22
high fever severe itching chills vomiting also headache perspiring lot additionally hurting nausea muscle soreness,12
muscles quite weak neck really stiff joints swollen making difficult walk without feeling stiff walking also really uncomfortable,1
stomach feels worse stoop recline eating particular meals spicy acidic cuisine discomfort occasionally causes loose stools,22
always foul breath sour taste mouth occasionally tingling throat makes difficult swallow meals,21
feeling extremely tired weak ive also coughing lot difficulty breathing fever high im producing lot mucus cough,2
skin calves become inflamed red legs hurt try run physical activities,17
belching burping common often get chest pain radiates back neck jaw arm chest pressure stress,21
walking tough cramps calves obesity believe cause working im exhausted,17
frequent need urinate often uncontrollable urges feel dizzy often confused also loss visuals,19
pee strong unpleasant scent hazy appearance since symptoms started appearing regularly feel desire urinate night experiencing high temperatures,23
nose extremely runny cant seem stop sneezing addition constantly feel cold exhausted ive coughing lot fever also really high far normal,5
must confess ive experiencing shortness breath persistent cough high fever ive also producing lot thick mucoid sputum im feeling quite drained exhausted rather tough deal im feeling quite sick moment,2
developed skin rash covers entire body rash red swollen worse certain areas arms legs also lost appetite,6
cant seem get enough air im sweating lot dont feel well theres lot phlegm throat chest hurts heart racing mucus im coughing reddish color,14
ive exhausted experiencing nausea itching addition ive lost weight temperature urine dark skin turned yellow additionally ive stomach pain,11
ive quite exhausted ill sneezing lot trouble warming im exhausted head hurts feel like boiling high temperature,5
cant seem catch breath im sweating lot feel really sick lot phlegm throat chest hurts heart racing mucus im coughing yellowish,14
im dizzy nauseated shaky im trouble breathing since throat swollen occasion throughout night chest hurts feel sick,18
ive experiencing stiffness weakness neck muscles recently since joints grown hard walk without getting stiff additionally walking extremely uncomfortable,1
ive difficulty using restroom difficult go aches anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,7
ive back pain cough wont go away limb weakness ive experiencing neck pain instability balance concerns,3
arms face small lymph nodes starting swell day made really miserable constant itching pain,4
along phlegmy cough muscle weakness ive dealing excruciating back pain addition feeling woozy shaky feet neck hurting,3
ive getting chills feeling tired cant seem shake cough chest aches heart feels like racing million miles per hour cough im coughing foul rusty phlegm,14
ive lot trouble sleeping high fever headache chills wake every day terrible pain belly area,16
nose always feels stuffy congested eyes always red itching feeling unwell fatigued keep hacking gunk scratchy irritated throat ive seen necks bumps larger usual,5
rash developed around nose lips huge red lesions painful emit yellow rustcolored fluid,10
feeling food acid backing throat chest pain gets worse lie get frequent heartburn indigestion eating food vomit,21
urine frequently black red really strange odour experiencing temperature changes regularly usually prevents sleeping night,23
discovered huge rash skin yesterday face covered blackheads pusfilled pimples skin crawling lot,0
ive experiencing lot problems bowel motions recently difficult go hurts anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,7
often get aburning sensation throat especially eating sometimes also leaves sour bitter taste mouth get nauseos beacuse,21
skin rash developed accompanied redness swelling dont feel well severe fever accompanied body pain,6
ive recently suffering constipation digestive discomfort anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,7
ive low temps blood urine past three days pee smells terrible head hurts much urinary urges seldom occur cue almost never control,23
ive quite itchy recently rashy places body also regions dont appear typical hue skin ive experienced firm lumps,8
feel queasy nauseous dizzy swelling throat breathing issues occasionally chest discomfort nausea night,18
ive developed severe rash skin clogged pusfilled pimples blackheads skin also quite sensitive,0
recently ive lot discomfort difficulty using restroom additionally ive noticed anus quite sore stool bloody,7
arms neck large lymph nodes itch touch itching made day extremely uncomfortable,4
experiencing constipation stomach ache discomfort gotten worse seriously interfering everyday life feel like lost appetite eat anything,16
ive experiencing severe body itchiness along chills nausea ive perspiring lot extremely high fever feel sick stomach headache muscles hurting lot,12
loss appetite difficulty swallowing often persistent feeling fullness even eating small meals usually throw get heartburn tingling sensation throat,21
woke morning find terrible rash body blackheads pusfilled pimples place additionally skin changing lot,0
skin calves itchy inflamed causing lot discomfort difficulty sleeping night blood vessels started protrude concerning,17
sex desire decreased im finding harder function sexually regularly brain fog feel quite dizzy disoriented,20
chronic dry cough palpitations infections dont appear getting better also painful throat issue although seem go away,19
addition experiencing change taste fragrance also metallic aftertaste tongue occasionally get excruciating joint muscular pain,20
ive trouble sleeping itching pain produced rash nails little dents really alarming noticeable inflammation nails,15
muscles area unit quite weak neck terribly stiff joints swollen making hard behalf maine steer regarding whereas feeling stiff walking put together terribly uncomfortable,1
itching making hard sleep night cant seem get rest rash itchy uncomfortable im feeling really tired exhausted,4
im feeling quite ill high fever headache rashes appeared arms face im quite concerned saw red sores around nose lips today,10
body itching like crazy red areas additionally patches different tone natural skin skin lumps pimples developed,8
lot difficulty breathing dont feel well im perspiring lot chest hurts lot mucus throat im trouble breathing phlegm im coughing strange hue,14
ive experiencing lot itching skin sometimes turns rash also strange patches skin different color rest sometimes get little bumps look like nodules,8
skin really itchy rashy spots also patches look different color rest skin ive bumps kind hard,8
feeling extremely tired fatigued energy anything fatigue severe struggle get bed noticed small red spots arms legs,6
ive ongoing health problems week including dry cough breathing difficulties general weakness,2
legs skin around veins unusual appears large bruise nowadays get frequent cramps sprint run,17
ive constipated really hard go bathroom go hurts stool bloody ive also pain butt anus really itchy irritated,7
experiencing acidity indigestion headaches well blurred distorted vision excessive hunger stiff neck depression irritability visual disturbance,13
im feeling really tired weak lately ive cough wont go away breathing become shallow fever really high cough ive producing lot thick mucoid sputum,2
itching body rashes chest back get flaky skin time time often leaves marks body,20
ive struggling breathe coughing constantly feeling worn high fever coughing lot thick mucoid saliva simply feel worn exhausted trying deal everything,2
low temperatues foul smelling pee area near kidneys hurt lot cant seem hold pee often get uncontrollable urges,23
bloating feeling uneasiness experiencing weight loss loss appetite sometimes dark tarry stools blood vomit,22
experiencing decrease sex drive difficulty fucntion sexually feel light headed confused often experince brain fog,20
feel queasy sick wobbly throat enlarged making difficult breathe chest occasionally pains night occasionally feel ill,18
veins legs cause lot discomforts sit long periods time,17
awful mental clarity trouble focusing frequently forget things struggle memory,20
always get sour taste mouth even dont anything acidic stomach regularly hiccups knot throat,21
woke morning found really nasty rash skin ton blackheads pimples filled pus skin also really scurrying,0
ive experiencing back pain dry cough muscle weakness ive experiencing neck pain feeling lightheaded trouble standing still,3
struggling back pain productive cough weakness muscles neck sore problems dizziness unsteady balance,3
ive rash skin looks like dischromic patches also lot nodular eruptions really bad itching previous week become worse,8
high fever accompanied severe headache body pain experince chills every night distinct pain behind eyes,6
coordination ive experiencing headache chest pain dizziness additionally ive trouble concentrating focusing,9
struggling acid reflux indigestion headaches well blurred distorted vision excessive hunger sore neck depression irritability visual disturbance,13
doctor skin covered uncomfortable rash along odd patches different hue skin also pimples resemble little knots,8
ive experiencing severe muscular weakness neck really stiff swollen joints find difficult move without becoming stiff also really uncomfortable walk,1
sores face mostly near nose lips sores causing discomfort pain discharge yellow rustcolored fluid,10
ive experiencing severe weariness sickly sensation throat really painful ive fairly severe cough nose quite stuffy ive significant sinus pressure im really miserable extremely exhausted,5
cheeks nose covered red sores ive observed rash neck chest spreading faster also developing mild fever,10
unintended weight loss difficulty gaining weight pain discomfort relieved taking antacids mouth tastes bad,22
bowel motions really difficult recently going difficult aches go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,7
burping belching frequent frequently get chest discomfort spreads back neck jaw arm pressure tension chest,21
recently skin quite itchy rash body skin also spots hue altered lumps knotlike pimples,8
ive feeling scratchy throwing lost weight also really exhausted skin become yellow severe fever stomach ache black urine,11
addition excruciating back pain ive also coughing mucus feeling weak ive feeling lightheaded unstable feet neck hurts well,3
struggle maintain focus mental clarity really poor trouble remembering things frequently forget stuff,20
ive experiencing high fever persistent cough shortness breath ive also producing lot thick mucoid sputum im feeling tired weak,2
experiencing intense itching vomiting fatigue also lost weight high fever skin turned yellow urine dark abdominal pain well,11
rashes face healing tried medications helping much recently noticed small sores near nose painful difficult handle,10
experinenced significant weight gain become obese changes appetite cravings different foods,20
skin horrible rash absolutely nonheritable blackheads pusfilled pimples abound addition skin quite sensitive,0
recently calves cramping frequently especially walking standing long periods time also veins noticeable,17
noticed blood vessels legs getting noticeable usual little concerning moreover experiencing cramps every day,17
lately experiencing muscle weakness stiff neck swelling joints stiffness attempt move around also painful steer,1
palms soles grown developed severe fissures cracks unpleasant frequently bleed also skin starting peel,15
vision foggy seems growing worse im constantly feeling worn exhausted additionally occasionally severe lightheadedness dizziness,19
awoke morning see horrible rash skin several blackheads pimples loaded pus skin also scurrying,0
ive coughing lot feeling incredibly chilly exhausted pretty high fever difficult breathe ive perspiring lot generally feeling weak ill ive quite thick black phlegm,14
im saturated sweat struggling breathe throat blocked mucous im uncomfortable heart racing chest aches im coughing darkish stringy mucous,14
experiencing muscle pain makes difficult move around lost apetite feel vomiting legs back pain lot,6
suffering high fever last couple days sores developing near nose sores painful feeling uncomfortable days,10
ive struggling really nasty rash skin lately covered blackheads pimples packed pus skin also really scurrying,0
ive lost lot stuff bloody stools including iron bloos anaemia usually feel fairly weak,22
morning woke discovered extremely bad rash skin several pusfilled pimples blackheads around skin also moving around lot,0
ive wheezing lot generally feeling sick exhausted throat feels really scratchy lot gross stuff flowing nose neck also feels bloated,5
bloating unease present ive losing weight losing interest food occasionally get tarry black stools vomit contains blood,22
cramps calves making difficult walk daily activities come suddenly last several minutes,17
cramps calves becoming frequent intense making difficult walk daily activities,17
ive experiencing stiffness weakness neck muscles recently since joints grownup heavy behalf pine tree state run whereas getting stiff additionally walking terribly uncomfortable,1
veins legs causing discomfort difficulty sleeping night swollen protruding skin making noticeable painful,17
ive lot trouble going bathroom lately really painful ive also noticed stool bloody anus really irritated,7
itch nausea weariness bothering addition developed fever lost weight pee black ive developed yellow rash additionally ive stomach ache,11
go bathroom time urine output low often drops stomach hurts lot cant seem able control urges pee,23
ive experiencing lot scratching chills vomiting fever also headache perspiring lot additionally hurting nausea muscle soreness,12
ive experiencing back pain persistent cough numbness arms legs ive trouble staying balanced managing vertigo neck hurts,3
dont feel like eating swallowing challenging even little meals frequently get lingering sensation fullness normal symptoms include nausea heartburn tingling throat,21
lately ive experiencing chills fatigue cough high fever difficulty breathing ive sweating lot feeling really sick weak ive also phlegm thats really thick dark,14
ive unhealthy rash skin latterly filled pusfilled pimples blackheads skin additionally scurring heaps,0
suffering back pain dry cough lack strength muscles neck sore feeling dizzy unsteady feet,3
ive battling back pain dry cough limb weakness ive feeling dizzy unstable feet neck hurts,3
cant stop sneezing nose really runny im also really cold tired time ive coughing lot fever really high like way normal,5
high fever swollen lymph nodes headache causing lot trouble dont feel like eating anything feel weak fatigued hard concentrate daily life,4
ive really hard time going bathroom lately really painful try go anus hurts lot theres also blood stool anus really itchy,7
woke today find major rash body lots pimples filled pus blackheads everywhere skin scurrying lot,0
skin palms soles thickened deep cracks cracks painful bleed easily,15
itchy skin lots red bumps arms legs weird looking spots skin sometimes bumps feel kind hard,8
often sneeze sore throat lips area around eyes occasionally swell start sneezing cant stop,18
ive chills feeling exhausted cant seem shake cough chest hurts cough heart feels like going million miles hour phlegm im coughing dirty rust color,14
ive experiencing intense itching chills vomiting high fever im also sweating lot headache nausea muscle pain making feel miserable,12
along excessive appetite stiff neck depression impatience visual disturbance ive also indigestion headaches blurred vision acid reflux symptoms bothering interfering usual activities,13
back discomfort persistent cough weakness limbs bothering issues vertigo losing equilibrium neck hurts,3
ive lost lot weight past week havent able eat much due nausea vomiting followed mild fever headache belly pain im really concerned health,16
muscles feeling rather weak lately neck really strong joints swollen making challenging move also excruciatingly difficult walk,1
pain abdomen often get feverish sudden strong urges pee pain almost constant often increases night time pee almost always foul smell,23
veins legs causing discomfort difficulty sleeping night idea happening get cramps sprint,17
experiencing chills shivering strong pain back also behind eyes also noticed small red spots back neck,6
pain typically coughing cough numbness arms legs plaguing addition neck hurts ive trouble staying balanced without getting woozy,3
small red sores appeared near nose neck first high temperature sores gotten painful inflamed recent days,10
rash face become painful inflamed past days sores beginning weep clear fluid getting extremely painful day,10
ive lot trouble staying hydrated vomiting diarrhea high fever constipation headache also starting get strange pain stomach area cant anything physical,16
ive nausea vomiting exhaustion additionally ive lost weight temperature urine black skin turned yellow ive also stomach pain,11
eyes constantly red runny persistent tightness sinuses also bothering ive lot difficulties breathing constantly feel fatigued addition lot throat mucus inflamed lymph nodes,5
experiencing constipation stomach ache really difficult discomfort gotten worse seriously interfering everyday life,16
difficulty swallowing food often get sensation food getting stuck throat constant belching bloating persitent sour taste mouth,22
facing severe joint pain vomitting developed skin rash covers entire body accompanied intense itching,6
ive intense itching body accompanied chills vomiting fever really high ive sweating excessively also headache feel nauseous muscles really painful,12
skin genitals red inflamed often itchy burning uncomfortable rashes different parts body,15
ive recently chills exhaustion cough high temperature breathing issues ive perspiring lot generally feeling weak ill ive quite thick black phlegm heart racing quite quickly,14
wound healing slowly slower rate hands feet numb tingling time,19
ive feeling really sick ive lot fatigue ive really bad cough throat really sore ive lot sinus pressure nose really congested feel really run miserable,5
balance headache chest pain dizziness ive also observed hard concentrate,9
ive quite constipated lately going restroom excruciatingly uncomfortable ive also observed blood stool anus aggravated,7
suffering intense itching vomiting fatigue weight loss fever high skin turned yellow urine dark experiencing abdominal pain,11
ive high fever particularly night quite unpleasant little headache well constipation diarrhea dont feel like eating anything,16
ive feeling really weak muscles neck really stiff joints swelling ive lot stiffness move around also really painful walk,1
strong itchiness nausea bothering also lost weight really exhausted high fever skin becoming yellow addition feeling stomach ache pee black,11
ive experiencing muscular weakness stiffness neck recently joints swollen creating troublesome behalf run regarding changing stiff walking additionally agonizingly uncomfortable,1
im feeling really sick lost appetite ive seen little red patches arms neck face itch touch,4
along severe body itchiness chills nausea ive experiencing ive severely perspiring high fever im feeling queasy also headache really hurting muscles,12
experiencing severe back pain persistent cough weakness limbs neck also hurts feeling dizzy balance,3
ive recently developed terrible rash skin riddled blackheads pusfilled pimples skin also scurrying,0
high fever severe itching chills vomiting also headache perspiring lot discomfort also brought nausea muscle ache,12
skin sensitive reacts easily changes temperature humidity often careful products use skin,15
developed really nasty rash skin tons blackheads pimples filled pus skin also really scurrying,0
regularly trouble swallowing sometimes feel like food becoming trapped throat frequently feel bloated belch every time bad aftertaste,22
ive feeling really tired sick ive sneezing lot cant seem get warm im tired head killing fever really high like im boiling,5
ive pretty uncomfortable itch body well red bumpy areas skin also certain patches epidermis distinct shade rest ive pimples resemble little balls,8
chronic bad breath sour taste mouth sometimes gets difficult swallow food tingling sensation throat,21
unknowingly lose weight find difficult gain weight relieve pain discomfort feel take antacids mouth hurts much,22
developed red spots body itchy inflamed also experiencing high fever along chills shivering,6
water intake frequency urination increased mouth throat feel dry lot hunger appetite increased recently,19
bloody stools caused lose lot things including iron bloos anaemia result typically feel rather weak,22
high fever chills severe itching headache also perspiring lot ive bothered nausea well muscle ache,12
feel really fatigued weak bad cough fever really high breathing become shallow cough lot saliva comes well,2
neck extremely tight muscles feeling extremely weak joints swollen ive walking around lot stiffness additionally walking extremely uneasy,1
bloody stools caused lose iron bloos among things anaemia generally feel quite weak,22
indigestion heartburn frequently vomit everything eat hard swallow since food gets caught throat upper abdomen discomfort,21
experiencing acidity indigestion frequent headaches well blurred distorted vision excessive hunger stiff neck depression irritability visual disturbance,13
ive felt really scratchy nauseated worn also high fever lost weight skin urine become yellow ive also experiencing stomach pain,11
ive chills lethargy cough high temperature difficulties breathing lately ive sweating profusely generally feeling ill weak ive also quite thick black phlegm,14
ive feeling truly frail muscles recently neck truly solid swollen joints make difficult move around walking also difficult,1
symptoms include headache chest pain dizziness lack balance trouble concentrating,9
experiencing skin rashes burning sores blistering sores fluidfilled elevated red colored lesions unpleasant touch also high fever,10
along impaired eyesight increased appetite sore neck melancholy impatience regular headaches ive also experiencing heartburn acid reflux indigestion,13
initially developed small red sores near nose neck high fever sores become painful inflamed past days,10
veins legs noticeable causing lot discomforts swollen protrude skin making visible clothing,17
diarrhea constipation quite concerning stomach severe painful ache im constantly exhausted dont feel like eating anything,16
discovered significant rash body morning blackheads pusfilled pimples proliferating skin scurrying lot,0
sore throat hoarseness especially morning chronic nagging pain throat bad breath also frequent belching,21
woke morning find major rash body covered pusfilled pimples blackheads skin scurrying lot,0
ive lot bloating constipation really painful lot pressure pain stomach area get high fever chills every night,16
put lot weight obese different urges different appetites,20
ive experiencing chills feel really exhausted cough wont go away cough chest aches heart pounding disgusting brownish hue mucous im coming,14
